OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,CustomerAge,PaymentMethod,Rating
ORD2758,24/07/2024,  North  ,Sports,Widget B,12,104.2,24.0,Debit Card,
ORD2487,09 Jun 2024,West,CLOTHING,Gadget Y,8,140.87,50.0,UPI,2.5
ORD1328,22/03/2025,  East  ,Home & Kitchen,Gadget Y,8,157.74,28.0,UPI,4.2
ORD2832,26 Feb 2025,EAST,Electronics,Accessory M,13,169.44,38.0,UPI,3.7
ORD1657,01-07-2024,East,SPORTS,Accessory M,12,170.44,63.0,Cash,2.9
ORD1876,07/12/2024,east,Toys,Device Q,9,166.21,49.0,Net Banking,4.7
ORD2389,27/10/2024,East,Electronics,Gizmo Z,8,149.7,25.0,Net Banking,4.1
ORD1110,29 Apr 2025,West,sports,Device Q,7,227.56,47.0,Net Banking,2.2
ORD1196,06-08-2024,CENTRAL,Toys,Widget B,10,,,Debit Card,4.0
ORD1367,16/06/2024,South,ELECTRONICS,Item N,12,186.96,36.0,UPI,2.0
ORD2244,06/02/2024,East,toys,Gadget X,10,267.27,39.0,Debit Card,2.4
ORD2568,25 Mar 2024,South,TOYS,Item N,5,102.63,29.0,Credit Card,1.1
ORD2094,07 May 2025,  South  ,ELECTRONICS,Widget A,6,169.6,43.0,Net Banking,3.3
ORD1340,22/07/2024,WEST,CLOTHING,Device Q,14,177.1,37.0,UPI,1.5
ORD2132,2025-03-15,  East  ,Books,Gadget X,8,83.83,25.0,Credit Card,2.4
ORD2950,2024-08-23,East,home & kitchen,Device Q,13,,48.0,Cash,2.2
ORD1983,01/06/2024,West,  Toys  ,Widget B,4,693.3,51.0,Net Banking,1.3
ORD2516,12-23-2024,South,Electronics,Device Q,4,175.0,61.0,Cash,3.6
ORD2072,2025-01-06,WEST,CLOTHING,Gadget X,7,337.39,27.0,Credit Card,4.5
ORD1860,06-12-2025,East,Electronics,Accessory M,1,132.2,54.0,Credit Card,4.4
ORD1717,03-16-2025,east,  Books  ,Widget A,13,451.92,57.0,UPI,1.1
ORD1358,2024-09-14,Central,Toys,Gizmo Z,10,155.22,36.0,Credit Card,3.1
ORD2724,04-23-2024,Central,Home & Kitchen,Gadget X,11,130.29,,Credit Card,3.2
ORD1640,17/02/2024,north,ELECTRONICS,Item N,12,135.74,41.0,Cash,1.7
ORD2970,05-29-2025,north,sports,Widget B,3,140.65,20.0,Credit Card,1.8
ORD1751,2025-04-03,  North  ,home & kitchen,Gizmo Z,14,142.13,66.0,Cash,
ORD1725,13 Feb 2025,North,  Books  ,Accessory M,3,247.7,52.0,Net Banking,2.9
ORD1002,09-27-2024,west,Home & Kitchen,Gizmo Z,11,154.03,68.0,Credit Card,4.5
ORD1862,2024-06-30,north,  Sports  ,Gadget Y,9,227.36,55.0,Net Banking,2.0
ORD2692,20 Sep 2024,South,Books,Gadget X,2,223.64,37.0,Cash,3.3
ORD2947,28/10/2024,west,Electronics,Widget B,10,75.43,24.0,UPI,2.4
ORD1997,29 Jan 2024,Central,SPORTS,Gadget Y,13,132.0,39.0,UPI,4.7
ORD2691,25 Apr 2024,West,TOYS,Accessory M,1,111.54,68.0,Cash,
ORD1259,10-28-2024,Central,Sports,Widget A,1,,65.0,Net Banking,4.5
ORD2802,24 Nov 2024,East,Sports,Gizmo Z,13,124.39,37.0,Cash,2.0
ORD1977,07/05/2024,,home & kitchen,Gadget X,7,317.29,18.0,Credit Card,3.8
ORD2614,2024-11-07,Central,Books,Device Q,13,209.21,60.0,Credit Card,4.5
ORD1802,08-03-2024,East,Clothing,Accessory M,9,85.44,45.0,Net Banking,2.0
ORD1933,13 Apr 2025,North,sports,Gadget X,12,138.22,40.0,Cash,5.0
ORD1623,06-17-2025,CENTRAL,Sports,Accessory M,6,289.14,38.0,Cash,4.0
ORD1415,04-08-2024,West,Books,Widget B,4,211.2,44.0,Debit Card,4.5
ORD1108,08-28-2024,West,TOYS,Accessory M,10,222.72,52.0,Debit Card,4.9
ORD2259,26 Sep 2024,central,Electronics,Item N,2,158.61,28.0,Debit Card,2.2
ORD1034,2024-05-10,NORTH,toys,Accessory M,9,163.58,62.0,Debit Card,1.0
ORD1262,2024-04-25,South,Electronics,Gizmo Z,14,224.26,31.0,Net Banking,4.1
ORD2678,2024-06-08,West,Sports,Widget A,7,247.29,43.0,Credit Card,4.0
ORD1619,20 Feb 2024,West,Home & Kitchen,Device Q,14,315.77,18.0,UPI,
ORD2208,18 Jun 2024,north,  Home & Kitchen  ,Gadget Y,13,165.86,68.0,Debit Card,2.1
ORD1419,2025-04-28,South,Toys,Gizmo Z,10,253.93,22.0,Net Banking,4.0
ORD1386,2024-10-03,East,sports,Device Q,14,430.02,61.0,UPI,4.2
ORD2037,22/04/2025,Central,Home & Kitchen,Widget B,6,280.47,22.0,Cash,
ORD2027,03-01-2024,South,HOME & KITCHEN,Gadget X,2,213.4,50.0,Cash,4.4
ORD1918,2024-08-26,Central,BOOKS,Gizmo Z,7,389.91,29.0,Debit Card,2.5
ORD2333,06-27-2025,West,books,Gadget Y,1,194.77,25.0,Debit Card,4.6
ORD2371,2024-04-20,West,home & kitchen,Accessory M,11,81.08,58.0,Debit Card,3.9
ORD2495,05 May 2024,NORTH,  Electronics  ,Accessory M,10,146.26,46.0,Credit Card,3.6
ORD2354,03-30-2024,North,toys,Accessory M,1,143.71,56.0,Credit Card,1.3
ORD2168,2024-11-18,Central,ELECTRONICS,Widget A,10,309.45,18.0,Debit Card,3.1
ORD1611,01-08-2025,West,Electronics,Accessory M,1,299.17,24.0,Net Banking,2.3
ORD1789,2025-02-23,CENTRAL,  Clothing  ,Device Q,1,54.84,28.0,Cash,5.0
ORD1571,24/09/2024,,books,Gadget X,6,368.2,42.0,Debit Card,2.8
ORD1204,23/02/2024,west,Toys,Widget B,3,253.67,62.0,Debit Card,3.9
ORD2050,29/04/2025,Central,Sports,Gizmo Z,8,120.65,34.0,Cash,3.9
ORD1229,09/01/2025,West,Books,Gadget Y,7,202.24,21.0,Debit Card,2.4
ORD2973,2025-02-16,NORTH,clothing,Gizmo Z,4,71.0,34.0,UPI,4.7
ORD2744,11/02/2024,North,home & kitchen,Accessory M,7,197.81,25.0,UPI,3.6
ORD1185,2024-05-30,West,Toys,Gadget X,11,218.64,27.0,UPI,3.4
ORD1687,02-03-2024,central,Clothing,Widget A,7,,42.0,Net Banking,3.6
ORD1955,29 Dec 2024,NORTH,toys,Gadget X,7,106.49,63.0,Credit Card,
ORD2945,2024-05-28,EAST,  Home & Kitchen  ,Widget A,5,122.89,64.0,Net Banking,
ORD2461,2024-09-13,South,sports,Gizmo Z,1,295.95,67.0,UPI,4.7
ORD1705,30/08/2024,west,  Sports  ,Gizmo Z,12,124.42,29.0,Debit Card,1.6
ORD2739,10 Apr 2024,East,ELECTRONICS,Accessory M,10,141.5,69.0,Net Banking,4.9
ORD1351,2024-06-28,west,Clothing,Accessory M,11,265.54,51.0,Debit Card,
ORD1308,15 Dec 2024,East,Books,Gadget X,3,302.72,39.0,UPI,1.5
ORD2829,02-08-2025,  East  ,Electronics,Widget A,13,168.42,46.0,,3.7
ORD1832,2025-01-12,,Sports,Item N,5,58.37,40.0,Net Banking,1.9
ORD1684,15/08/2024,  North  ,Clothing,Gizmo Z,7,236.32,41.0,UPI,3.1
ORD1237,13 Aug 2024,SOUTH,clothing,Widget A,10,252.2,32.0,Credit Card,3.2
ORD1879,2024-12-25,South,TOYS,Gadget Y,6,234.21,31.0,Debit Card,2.8
ORD1978,2024-02-11,west,electronics,Item N,2,376.34,31.0,Cash,3.1
ORD2165,24/11/2024,Central,electronics,Widget A,7,226.33,42.0,Credit Card,5.0
ORD2465,11-08-2024,East,books,Device Q,3,123.28,36.0,Net Banking,4.5
ORD2559,05-22-2024,  West  ,SPORTS,Widget B,12,196.87,39.0,Credit Card,2.6
ORD1681,04-18-2024,Central,Books,Gadget Y,9,142.58,31.0,Cash,2.9
ORD1912,12-14-2024,east,Clothing,Gadget Y,11,239.43,26.0,,1.9
ORD1824,2024-05-20,West,BOOKS,Item N,7,229.67,32.0,Cash,1.5
ORD1200,26/07/2024,South,Toys,Widget B,8,432.62,,Cash,
ORD2756,2024-05-09,North,  Electronics  ,Gadget Y,2,210.22,35.0,UPI,2.4
ORD2499,08 Feb 2024,  West  ,Books,Device Q,1,163.98,54.0,Cash,2.2
ORD1140,04-16-2025,south,Sports,Widget A,2,245.81,23.0,UPI,4.1
ORD1596,05-12-2024,WEST,toys,Widget B,1,289.53,42.0,Debit Card,4.1
ORD1037,15/06/2024,east,home & kitchen,Item N,8,314.91,68.0,UPI,3.5
ORD2133,14 Nov 2024,south,Home & Kitchen,Widget A,8,232.95,57.0,Net Banking,3.7
ORD2210,09/07/2024,Central,SPORTS,Device Q,13,90.61,20.0,Debit Card,3.1
ORD2490,2025-05-04,Central,Toys,Widget A,13,108.7,46.0,Net Banking,3.9
ORD1397,08-04-2024,North,Electronics,Widget A,14,189.95,64.0,UPI,3.1
ORD1820,10-28-2024,  East  ,Clothing,Item N,14,177.07,30.0,Credit Card,2.3
ORD1058,2025-02-05,north,  Toys  ,Accessory M,3,140.07,120.0,Debit Card,3.5
ORD2787,09/05/2024,Central,Toys,Gizmo Z,9,,39.0,Cash,4.9
ORD2523,2024-04-28,West,Clothing,Gadget X,14,84.44,29.0,Net Banking,1.9
ORD1895,05/01/2025,Central,CLOTHING,Item N,8,247.47,69.0,Credit Card,3.1
ORD1206,2025-02-23,EAST,books,Widget B,10,218.85,18.0,Cash,2.9
ORD2985,2024-09-17,east,Toys,Widget B,11,184.07,36.0,UPI,3.9
ORD1430,08-02-2024,CENTRAL,Home & Kitchen,Gadget X,3,104.91,22.0,Cash,4.0
ORD1300,2024-10-31,Central,Home & Kitchen,Device Q,3,121.74,60.0,Debit Card,3.7
ORD1660,22/05/2025,SOUTH,Electronics,Item N,14,144.5,38.0,Net Banking,3.0
ORD2375,2025-04-03,East,Books,Item N,10,179.04,28.0,Credit Card,4.1
ORD2784,2025-01-24,west,  Books  ,Gadget X,2,262.0,41.0,Credit Card,2.8
ORD1412,01 Jan 2025,North,sports,Widget B,8,130.7,52.0,UPI,1.8
ORD2113,2025-01-11,Central,sports,Gadget X,12,96.7,69.0,Debit Card,4.3
ORD1007,11/04/2025,North,toys,Device Q,12,61.02,56.0,Credit Card,4.4
ORD1350,04-09-2024,east,Sports,Gadget X,12,532.14,28.0,Cash,3.2
ORD1721,10/03/2025,  North  ,books,Gadget X,10,141.25,46.0,Net Banking,2.4
ORD2010,07 Nov 2024,north,SPORTS,Accessory M,6,284.6,50.0,UPI,4.4
ORD2841,06-12-2024,SOUTH,books,Gadget X,6,202.18,31.0,Credit Card,1.2
ORD1507,25/11/2024,East,Books,Widget B,3,179.89,53.0,Debit Card,3.8
ORD1020,07-10-2024,West,Toys,Accessory M,14,219.95,67.0,Net Banking,4.4
ORD1506,2024-01-12,SOUTH,Toys,Gadget Y,12,138.96,44.0,UPI,1.5
ORD2880,2025-01-19,East,  Toys  ,Item N,9,193.6,46.0,Net Banking,1.4
ORD2067,02 Jun 2025,west,Home & Kitchen,Widget B,8,246.75,24.0,Debit Card,3.8
ORD1586,10 Mar 2025,East,Clothing,Device Q,3,194.12,38.0,Cash,1.5
ORD1833,02-20-2024,Central,Electronics,Device Q,11,250.98,60.0,Debit Card,3.2
ORD1500,2024-05-22,West,books,Item N,6,238.68,69.0,Debit Card,3.0
ORD2539,2024-08-07,  East  ,Books,Accessory M,11,242.25,19.0,Debit Card,2.6
ORD2153,04 Jun 2025,Central,Home & Kitchen,Device Q,13,150.04,68.0,Net Banking,1.7
ORD2813,08/08/2024,WEST,  Electronics  ,Widget A,10,153.32,55.0,Credit Card,3.6
ORD2765,04-19-2024,East,Home & Kitchen,Gadget Y,12,228.8,20.0,UPI,3.7
ORD2817,18/08/2024,north,BOOKS,Gadget X,3,99.5,60.0,Debit Card,4.8
ORD2949,25/08/2024,central,clothing,Gadget X,6,164.32,32.0,Credit Card,3.4
ORD1943,06/06/2025,EAST,CLOTHING,Gadget X,1,236.37,34.0,Debit Card,2.6
ORD1540,08-04-2024,  East  ,  Home & Kitchen  ,Device Q,11,,25.0,UPI,3.1
ORD1740,2024-01-13,central,  Books  ,Item N,10,577.21,44.0,Credit Card,2.2
ORD2564,10-17-2024,NORTH,Books,Device Q,6,294.61,18.0,UPI,4.6
ORD1396,2024-10-05,west,books,Gadget X,7,4131.254416041657,35.0,Debit Card,
ORD2520,23/06/2024,North,  Books  ,Device Q,14,159.35,23.0,Cash,1.7
ORD2058,21 Jun 2025,West,Clothing,Gadget X,5,210.97,24.0,Cash,3.8
ORD2256,04-29-2024,WEST,books,Widget A,1,225.1,24.0,Credit Card,2.1
ORD2792,2025-04-11,  West  ,Toys,Gadget Y,4,210.34,57.0,Cash,2.4
ORD1172,2024-05-03,,BOOKS,Accessory M,12,124.32,67.0,Debit Card,4.3
ORD2534,2024-10-13,north,Home & Kitchen,Gadget Y,14,204.3,64.0,Debit Card,1.1
ORD2659,01-08-2025,central,toys,Device Q,4,207.12,62.0,UPI,3.2
ORD1514,03-30-2024,Central,  Toys  ,Widget B,7,309.68,43.0,Cash,1.8
ORD2928,29 Sep 2024,CENTRAL,Sports,Accessory M,9,153.11,36.0,,1.7
ORD1620,2025-02-06,NORTH,home & kitchen,Gadget Y,6,164.96,59.0,Cash,3.2
ORD2775,06-20-2025,CENTRAL,Sports,Item N,5,161.1,34.0,Net Banking,4.7
ORD1051,24/07/2024,  West  ,  Sports  ,Accessory M,2,497.23,64.0,Net Banking,3.5
ORD1036,01-21-2024,CENTRAL,BOOKS,Accessory M,4,56.88,49.0,Credit Card,1.3
ORD1779,02-08-2024,central,Home & Kitchen,Item N,5,-260.71,45.0,Debit Card,1.4
ORD2295,2025-06-10,South,Books,Gadget X,5,248.28,44.0,Net Banking,1.9
ORD1653,01-20-2025,east,Books,Gadget Y,3,210.12,39.0,Net Banking,
ORD1217,11 Jun 2024,west,Electronics,Widget A,2,149.86,27.0,Debit Card,4.4
ORD1284,2025-05-20,SOUTH,Toys,Widget B,13,80.63,43.0,Net Banking,3.1
ORD2668,2024-06-15,  Central  ,  Toys  ,Accessory M,6,120.65,57.0,Cash,4.2
ORD2753,13 Mar 2024,East,Toys,Accessory M,2,159.67,59.0,Cash,1.6
ORD2277,2024-02-08,  South  ,Sports,Widget A,14,,66.0,Debit Card,3.7
ORD1830,2024-05-06,CENTRAL,Clothing,Gadget Y,8,197.09,60.0,Credit Card,2.7
ORD2332,2024-06-14,WEST,home & kitchen,Widget B,13,288.27,39.0,Net Banking,1.9
ORD1374,2025-05-13,SOUTH,home & kitchen,Item N,5,313.26,57.0,Debit Card,4.9
ORD1984,2025-01-12,  Central  ,BOOKS,Gizmo Z,11,208.84,53.0,Credit Card,
ORD1410,01-18-2025,CENTRAL,Clothing,Gizmo Z,6,189.11,42.0,Debit Card,2.8
ORD2996,2024-08-18,CENTRAL,Toys,Widget B,7,201.08,24.0,UPI,1.0
ORD2850,25 Feb 2025,central,sports,Accessory M,7,110.38,43.0,Credit Card,4.7
ORD2330,2024-12-31,NORTH,sports,Item N,1,172.29,38.0,Debit Card,4.7
ORD1146,24/05/2025,south,CLOTHING,Item N,2,309.45,51.0,Net Banking,1.2
ORD1613,25 Dec 2024,  North  ,clothing,Widget B,14,359.82,26.0,Credit Card,3.4
ORD2467,30/04/2024,WEST,electronics,Gadget X,5,75.69,59.0,,3.3
ORD2275,31 Jan 2025,  South  ,Clothing,Gadget Y,1,192.62,63.0,UPI,2.9
ORD1360,2024-06-08,  West  ,ELECTRONICS,Accessory M,2,254.19,30.0,Credit Card,4.7
ORD2179,13/08/2024,South,clothing,Accessory M,12,330.93,46.0,,
ORD2164,03-29-2024,South,Electronics,Item N,8,318.66,32.0,Net Banking,1.0
ORD2889,2024-08-15,west,Clothing,Widget A,6,238.79,29.0,Credit Card,2.8
ORD2828,01-20-2025,  Central  ,  Books  ,Gadget X,12,338.68,,Cash,1.6
ORD1241,2025-03-28,  East  ,CLOTHING,Item N,7,186.02,58.0,Cash,5.0
ORD1492,14 Aug 2024,West,Electronics,Gadget X,2,202.0,65.0,Credit Card,3.4
ORD2432,09/06/2025,south,  Sports  ,Widget B,3,388.33,45.0,Credit Card,2.4
ORD2293,05-21-2025,Central,electronics,Gadget X,6,395.88,22.0,UPI,1.6
ORD2763,12 Jun 2024,EAST,Clothing,Gizmo Z,13,237.99,50.0,Net Banking,1.9
ORD2338,26 Jan 2025,North,Electronics,Gadget X,9,249.98,47.0,Cash,2.1
ORD2863,01-10-2024,South,Toys,Widget B,11,255.88,27.0,Net Banking,4.2
ORD2034,17/04/2024,  North  ,Sports,Widget A,2,261.47,51.0,UPI,1.6
ORD2912,2024-06-17,East,HOME & KITCHEN,Device Q,8,221.82,61.0,Debit Card,3.7
ORD2650,2025-03-30,West,Toys,Widget A,14,149.88,48.0,Net Banking,2.9
ORD2323,2024-12-09,South,Sports,Item N,2,200.19,22.0,UPI,2.3
ORD2151,23 Feb 2024,east,Toys,Widget B,1,173.64,47.0,Debit Card,2.5
ORD2442,18 Aug 2024,EAST,BOOKS,Accessory M,2,231.97,68.0,UPI,
ORD1739,2024-06-20,EAST,Books,Item N,8,189.27,54.0,Debit Card,3.0
ORD2877,2025-05-19,central,CLOTHING,Widget A,10,198.31,23.0,UPI,2.1
ORD1141,08-20-2024,SOUTH,Toys,Gadget Y,9,,33.0,UPI,2.8
ORD1565,12/03/2024,  South  ,sports,Widget B,7,243.71,41.0,UPI,4.6
ORD1868,11 Oct 2024,  West  ,electronics,Widget B,9,199.52,47.0,Credit Card,1.0
ORD2885,27 May 2024,West,CLOTHING,Gadget Y,8,136.7,,Cash,3.4
ORD1837,2024-10-23,NORTH,ELECTRONICS,Gadget X,12,162.22,55.0,UPI,2.0
ORD2891,02 Feb 2025,West,TOYS,Accessory M,4,264.31,23.0,Debit Card,3.7
ORD2715,2024-05-28,East,Sports,Accessory M,3,168.69,32.0,Debit Card,3.3
ORD2599,04/06/2024,North,CLOTHING,Gadget Y,9,322.52,22.0,UPI,
ORD2884,17/01/2024,WEST,  Clothing  ,Gizmo Z,12,240.28,51.0,Cash,3.0
ORD2678,2024-06-08,West,Sports,Widget A,7,247.29,43.0,Credit Card,4.0
ORD2049,21/03/2024,East,  Sports  ,Widget A,10,425.64,25.0,Credit Card,
ORD2427,2024-01-21,NORTH,  Home & Kitchen  ,Gizmo Z,2,,32.0,Credit Card,2.6
ORD2844,29 Jan 2025,central,  Toys  ,Item N,12,,38.0,Credit Card,4.1
ORD1572,23/02/2024,North,Clothing,Device Q,5,-351.08,18.0,Debit Card,1.5
ORD2872,2025-03-24,East,  Books  ,Widget A,1,191.79,49.0,UPI,1.3
ORD1694,2024-11-10,central,CLOTHING,Device Q,6,280.5,,UPI,4.5
ORD2285,2025-06-22,CENTRAL,Electronics,Widget B,13,302.98,32.0,UPI,2.7
ORD1501,02-18-2025,North,Toys,Widget B,10,217.59,65.0,UPI,3.7
ORD1517,23 Jun 2025,NORTH,CLOTHING,Item N,11,528.02,63.0,Debit Card,4.0
ORD2682,15 Jan 2025,CENTRAL,Books,Widget A,12,242.43,22.0,UPI,3.3
ORD1556,2025-04-01,north,Sports,Gadget Y,12,192.26,48.0,Cash,4.0
ORD1179,05-25-2025,North,Clothing,Accessory M,5,188.4,53.0,Debit Card,1.6
ORD1438,06-22-2024,Central,  Books  ,Item N,2,300.15,26.0,UPI,1.8
ORD1488,20 Mar 2024,north,Home & Kitchen,Device Q,11,96.28,40.0,UPI,4.2
ORD2476,11-29-2024,South,Clothing,Gadget X,4,101.49,64.0,UPI,2.8
ORD2992,17 Apr 2025,NORTH,Electronics,Accessory M,14,,22.0,Cash,3.2
ORD2118,03/01/2024,EAST,Toys,Gadget Y,1,149.48,23.0,Net Banking,3.0
ORD1353,17 Mar 2025,North,  Toys  ,Gadget X,4,429.59,37.0,Debit Card,1.2
ORD1299,07/12/2024,WEST,Books,Widget A,1,152.54,40.0,Cash,4.3
ORD2713,16 Nov 2024,North,Home & Kitchen,Gadget X,12,141.74,,UPI,1.3
ORD2246,2024-07-14,South,clothing,Gadget X,1,251.63,43.0,Credit Card,3.4
ORD1454,04 Aug 2024,Central,TOYS,Accessory M,3,261.05,34.0,Credit Card,2.0
ORD1593,25 Jun 2025,North,SPORTS,Item N,8,239.04,54.0,Debit Card,2.2
ORD2447,06 Mar 2024,South,Home & Kitchen,Gadget X,9,394.86,29.0,UPI,2.8
ORD1325,08-24-2024,West,TOYS,Gadget Y,6,231.68,31.0,Debit Card,1.1
ORD1071,14/01/2025,North,toys,Device Q,5,179.49,26.0,UPI,1.2
ORD1527,01-10-2024,WEST,Home & Kitchen,Widget B,4,260.93,27.0,Net Banking,2.9
ORD1768,05/02/2025,  East  ,Books,Accessory M,14,125.85,37.0,Net Banking,1.8
ORD2401,20/03/2025,NORTH,Electronics,Accessory M,4,,50.0,Net Banking,2.1
ORD2618,2024-02-05,EAST,Books,Widget A,5,160.9,22.0,Debit Card,3.8
ORD2903,2024-05-17,CENTRAL,Toys,Widget B,3,93.21,64.0,Cash,3.9
ORD2610,12-16-2024,  West  ,Home & Kitchen,Item N,12,203.65,31.0,UPI,3.2
ORD2921,08/06/2024,CENTRAL,sports,Item N,4,391.39,26.0,Debit Card,3.1
ORD2968,24 Feb 2025,South,toys,Gadget Y,8,269.33,48.0,Cash,4.6
ORD2137,02 Mar 2024,central,toys,Gadget X,8,155.28,22.0,Cash,2.6
ORD1729,2024-04-22,Central,Toys,Gizmo Z,10,169.85,22.0,Debit Card,1.4
ORD2089,30/05/2025,NORTH,Sports,Gizmo Z,14,162.55,67.0,Net Banking,2.4
ORD2488,2024-07-24,East,SPORTS,Accessory M,12,228.86,66.0,Credit Card,1.2
ORD2882,11/02/2025,south,  Toys  ,Gizmo Z,3,288.84,34.0,UPI,2.8
ORD1544,25/05/2025,South,sports,Gizmo Z,5,219.85,55.0,Net Banking,1.5
ORD1116,2025-06-08,north,ELECTRONICS,Widget B,6,162.84,52.0,Cash,1.3
ORD2693,17/03/2025,North,Toys,Item N,7,122.25,32.0,Debit Card,
ORD2159,24/05/2024,north,ELECTRONICS,Gizmo Z,1,141.48,64.0,Debit Card,1.3
ORD1004,12/03/2024,south,Toys,Device Q,10,195.79,69.0,Cash,4.8
ORD1311,04/01/2025,West,HOME & KITCHEN,Item N,5,307.72,32.0,Credit Card,3.2
ORD1046,01/01/2025,West,Electronics,Widget B,8,203.97,43.0,Net Banking,1.3
ORD1341,05/08/2024,Central,sports,Gadget Y,14,228.4,27.0,Cash,2.5
ORD2200,2024-08-03,West,home & kitchen,Device Q,2,204.2,42.0,Cash,4.7
ORD1835,04-06-2025,East,HOME & KITCHEN,Device Q,8,91.76,19.0,Net Banking,1.3
ORD1887,2024-10-31,North,Electronics,Gizmo Z,8,107.53,20.0,UPI,4.8
ORD2399,28/02/2024,East,BOOKS,Gadget Y,12,329.54,51.0,Credit Card,4.3
ORD2595,29/11/2024,  West  ,clothing,Widget B,4,238.07,,UPI,1.5
ORD1278,24/06/2024,central,HOME & KITCHEN,Gadget Y,5,148.55,,Debit Card,3.4
ORD2631,10/01/2024,North,Books,Gadget Y,7,170.02,54.0,Credit Card,2.3
ORD2022,15/05/2025,East,books,Widget B,7,96.28,39.0,Debit Card,4.3
ORD1638,15 Dec 2024,east,  Clothing  ,Accessory M,2,311.75,43.0,Debit Card,4.0
ORD2620,03-27-2025,,Sports,Widget A,12,94.43,33.0,UPI,2.9
ORD2974,01-30-2024,EAST,HOME & KITCHEN,Device Q,14,97.05,27.0,Debit Card,1.7
ORD1194,2025-03-28,SOUTH,Books,Widget A,9,169.18,35.0,Debit Card,2.2
ORD2931,02/05/2025,west,Home & Kitchen,Widget B,6,197.12,59.0,UPI,3.5
ORD1806,05/06/2024,north,home & kitchen,Item N,2,129.19,22.0,Debit Card,2.8
ORD2638,14 Jun 2025,Central,Clothing,Accessory M,2,222.85,38.0,Debit Card,4.8
ORD2518,2025-05-09,Central,Toys,Widget A,11,127.1,57.0,Credit Card,2.8
ORD1372,28/10/2024,east,HOME & KITCHEN,Item N,13,413.76,69.0,Credit Card,4.7
ORD1800,2024-06-07,east,  Clothing  ,Widget A,10,100.18,39.0,Credit Card,2.0
ORD1504,15/09/2024,central,TOYS,Device Q,14,264.37,69.0,Cash,2.1
ORD2816,25/02/2025,,Sports,Accessory M,9,364.43,59.0,Cash,4.4
ORD2301,07-26-2024,WEST,Electronics,Gizmo Z,10,108.93,61.0,Cash,4.9
ORD2226,06-08-2025,South,Clothing,Item N,14,125.03,,Net Banking,1.8
ORD1298,2024-11-09,CENTRAL,books,Accessory M,1,175.32,37.0,Credit Card,
ORD2198,15 Oct 2024,north,  Home & Kitchen  ,Accessory M,14,114.13,31.0,Credit Card,2.4
ORD1450,2024-12-07,north,clothing,Gizmo Z,12,63.62,61.0,UPI,2.2
ORD2042,01-17-2024,north,Books,Widget A,8,110.32,38.0,Cash,3.1
ORD1109,05 Apr 2024,south,Home & Kitchen,Gadget Y,1,232.72,45.0,Cash,2.4
ORD1817,13 May 2024,NORTH,Sports,Gadget X,14,92.12,22.0,Cash,2.2
